iter	MultiClass
235	0.7344374146
236	0.7342667533
237	0.7340495237
238	0.7337331901
239	0.7334263356
240	0.7331037558
241	0.7328092005
242	0.7326027167
243	0.7321088872
244	0.731965127
245	0.7317028063
246	0.73162731
247	0.7313369804
248	0.7310337038
249	0.7306967179
250	0.7303182557
251	0.7299501691
252	0.7295213624
253	0.7294122969
254	0.7291591628
255	0.7287302614
256	0.7283648204
257	0.7280059773
258	0.7275661842
259	0.7272209465
260	0.7268411039
261	0.726612906
262	0.7264229142
263	0.7262500564
264	0.7260336268
265	0.7257475947
266	0.7255316622
267	0.7252521448
268	0.7249320597
269	0.7246381786
270	0.7243228913
271	0.7241072657
272	0.7236287633
273	0.7231881039
274	0.722825157
275	0.7224002286
276	0.7221916311
277	0.7219307846
278	0.7216130896
279	0.7214076771
280	0.7210260162
281	0.7207051526
282	0.7204977752
283	0.7200843863
284	0.7196056322
285	0.7192727431
286	0.7190857439
287	0.7189319784
288	0.7187195366
289	0.7185250157
290	0.7184098359
291	0.7181371134
292	0.7179163848
293	0.7174414735
294	0.7171916481
295	0.7169396299
296	0.7166270137
297	0.7162958188
298	0.7160553741
299	0.7158327146
300	0.7156180135
301	0.715441377
302	0.7150635522
303	0.7149243941
304	0.7146381791
305	0.7144642588
306	0.7142191579
307	0.7141232994
308	0.7137490366
309	0.7135862851
310	0.7132894346
311	0.7130810479
312	0.7128793472
313	0.7126730702
314	0.7123972722
315	0.7121320805
316	0.711912524
317	0.7116370211
318	0.7112626798
319	0.710986152
320	0.7106977779
321	0.7100862402
322	0.7099684321
323	0.7098034253
324	0.7095000977
325	0.7092821728
326	0.7088844143
327	0.7086529845
328	0.7084156579
329	0.708123771
330	0.7079192927
331	0.7076684599
332	0.7075146125
333	0.7073108728
334	0.7070905581
335	0.7068896925
336	0.7067016606
337	0.7064922368
338	0.7061740337
339	0.7059181434
340	0.7057207843
341	0.7054386664
342	0.7051104176
343	0.7049581275
344	0.7046812344
345	0.7043383753
346	0.7041681076
347	0.7038736535
348	0.7036826155
349	0.7035650564
350	0.7032961464
351	0.7030299336
352	0.7028614694
353	0.7026160101
354	0.702356581
355	0.7020319144
356	0.7018151059
357	0.7016828692
358	0.7014715042
359	0.7012180239
360	0.7009684429
361	0.7006965877
362	0.7004492993
363	0.7001468342
364	0.699990611
365	0.6995761815
366	0.6993025675
367	0.6991470421
368	0.6989032877
369	0.6986755871
370	0.6985047783
371	0.6981490738
372	0.6979291397
373	0.6977673596
374	0.6974421873
375	0.6971925134
376	0.6968009368
377	0.696604291
378	0.696387355
379	0.6961513918
380	0.6959950669
381	0.6956712081
382	0.6954951805
383	0.6952534113
384	0.6949501608
385	0.694629283
386	0.6943377996
387	0.6941825551
388	0.6938995049
389	0.6937068175
390	0.6933664794
391	0.6930465672
392	0.6928884661
393	0.6927097091
394	0.6924978087
395	0.6922458439
396	0.6919818728
397	0.6918303553
398	0.6917373544
399	0.6915145576
400	0.6912436814
401	0.6909475608
402	0.6906980786
403	0.6904853853
404	0.6903877584
405	0.6900752123
406	0.689856963
407	0.6895930564
408	0.689392061
409	0.68890996
410	0.6886242987
411	0.6884051153
412	0.6881928626
413	0.6880942495
414	0.6877439741
415	0.6875759422
416	0.6874210819
417	0.6872586118
418	0.6871112246
419	0.6869525653
420	0.6867523327
421	0.686488706
422	0.686364396
423	0.6860567521
424	0.6858651261
425	0.685689746
426	0.6855028932
427	0.685349811
428	0.6851762133
429	0.6850272743
430	0.6848968854
431	0.6846885115
432	0.6845681347
433	0.6842990304
434	0.6840830336
435	0.6839553943
436	0.6838060103
437	0.6835428326
438	0.6834068459
439	0.6832713408
440	0.6830322827
441	0.6829061452
442	0.6827534116
443	0.682625907
444	0.6824266266
445	0.682199713
446	0.6820751537
447	0.681843488
448	0.6815908805
449	0.6814929548
450	0.6813122619
451	0.680986663
452	0.6807472658
453	0.6805340044
454	0.6802819558
455	0.6800700382
456	0.6798015354
457	0.6793489612
458	0.6791727221
459	0.6789389584
460	0.6788460079
461	0.6785715184
462	0.678353267
463	0.67809495
464	0.6778283914
465	0.6776502857
466	0.6775597215
467	0.6774299821
468	0.6771806079
469	0.677033567
470	0.6768058559
471	0.6766254624
472	0.6764852418
473	0.6762629469
474	0.6760095002
475	0.6758688436
476	0.6756766552
477	0.6754924202
478	0.6752795369
479	0.6751274773
480	0.6749058431
481	0.67471225
482	0.6745434735
483	0.6741983463
484	0.6739315292
485	0.6737632895
486	0.6736271839
487	0.6732797148
488	0.6732025871
489	0.6730438255
490	0.6727577674
491	0.6726058716
492	0.6723988381
493	0.6722910692
494	0.6720917666
495	0.6717736303
496	0.6714973833
497	0.6713686689
498	0.6710992136
499	0.6707699388
500	0.6704845187
501	0.670279176
502	0.6701632996
503	0.6700369006
504	0.6698906823
505	0.669742781
506	0.6695321982
507	0.6692986268
508	0.6692008426
509	0.6690419598
510	0.668823271
511	0.6686422376
512	0.6684969524
513	0.6682897621
514	0.6680464699
515	0.6678445091
516	0.6676591664
517	0.66749827
518	0.6672837784
519	0.6671971108
520	0.6670891993
521	0.6669098184
522	0.6667658393
523	0.6665502184
524	0.666437109
525	0.6662845617
526	0.6660832531
527	0.6659984042
528	0.6656981535
529	0.6654357187
530	0.6652871897
531	0.6649979914
532	0.6648633381
533	0.6646687499
534	0.6644180131
535	0.6642281803
536	0.6640610803
537	0.6639102111
538	0.6636584026
539	0.6633886945
540	0.6632503648
541	0.6630357938
542	0.6627067626
543	0.6623175739
544	0.6621427575
545	0.6619834825
546	0.6617926795
547	0.6615792143
548	0.6613508572
549	0.6612849284
550	0.6611449378
551	0.6609531191
552	0.6607804443
553	0.6607020643
554	0.6603870625
555	0.6602698621
556	0.6599322253
557	0.6596633439
558	0.6595466025
559	0.6592944717
560	0.6591409739
561	0.6588605047
562	0.6587054596
563	0.658544366
564	0.658393333
565	0.6581851858
566	0.658030863
567	0.65776729
568	0.6576401853
569	0.6573614458
570	0.6572106287
571	0.6570650585
572	0.6568143026
573	0.6566527863
574	0.6564990353
575	0.6563856641
576	0.6562790959
577	0.6559769174
578	0.6557935669
579	0.6556967292
580	0.6555960134
581	0.6553407184
582	0.6551844307
583	0.6550862871
584	0.6550309836
585	0.6548731012
586	0.6547037174
587	0.6543283653
588	0.6541238802
589	0.6538506858
590	0.6537378315
591	0.6535433657
592	0.6533915868
593	0.6532136534
594	0.6529275346
595	0.6526867028
596	0.6525089391
597	0.6523064507
598	0.6521273847
599	0.6519097274
600	0.6517292068
601	0.6514545868
602	0.6512437784
603	0.6511055733
604	0.6508932135
605	0.6507060301
606	0.6505830474
607	0.6504339344
608	0.6503021223
609	0.650117716
610	0.6498578268
611	0.6497224718
612	0.649589714
613	0.6493449638
614	0.6491445188
615	0.6490160445
616	0.6488563095
617	0.6485346297
618	0.6484413293
619	0.6481946123
620	0.6479515123
621	0.6478770581
622	0.647817699
623	0.6477187598
624	0.6475331885
625	0.6473610237
626	0.6471410063
627	0.6469293498
628	0.6466905481
629	0.6465207008
630	0.6463025929
631	0.6459264331
632	0.6457261119
633	0.6456238817
634	0.6454788332
635	0.6454158296
636	0.6453150094
637	0.6451785198
638	0.644864469
639	0.6446063391
640	0.6444810703
641	0.6443773211
642	0.6440861561
643	0.6440063237
644	0.6438539827
645	0.6435864664
646	0.6434445405
647	0.6434035114
648	0.6432808056
649	0.6431380265
650	0.6430102916
651	0.6428583217
652	0.6426486908
653	0.6425628864
654	0.6424275179
655	0.6422618189
656	0.641997449
657	0.6418625021
658	0.6417051579
659	0.6415863892
660	0.6414590626
661	0.6413077802
662	0.6410315332
663	0.6408527321
664	0.6406551281
665	0.6405117898
666	0.6404623481
667	0.6402671778
668	0.6400251468
669	0.6399190793
670	0.6398380252
671	0.6396822308
672	0.6394889552
673	0.6393224262
674	0.6392022431
675	0.6390796567
676	0.6388357003
677	0.6386416999
678	0.6384026294
679	0.6382960167
680	0.6381922248
681	0.6381014804
682	0.6380076944
683	0.637818094
684	0.63769463
685	0.637570858
686	0.637504918
687	0.6373348196
688	0.6372282117
689	0.6371400215
690	0.6369793166
691	0.6368845762
692	0.6367130496
693	0.6365274115
694	0.6363309448
695	0.6362536232
696	0.6360107688
697	0.6359119008
698	0.6357160256
699	0.6356538779
700	0.6354840407
701	0.6352046207
702	0.6351173665
703	0.6348719327
704	0.6347521473
705	0.6346718945
706	0.6344707186
707	0.6342590043
708	0.6341076549
709	0.6339271365
710	0.6337279016
711	0.6335187783
712	0.6333274068
713	0.6331621847
714	0.6329474631
715	0.632745215
716	0.6326536859
717	0.6324803708
718	0.6323258351
719	0.6322087906
720	0.6320864802
721	0.6319804589
722	0.6317686314
723	0.6316545432
724	0.6314856018
725	0.6312829325
726	0.6310657329
727	0.6308485281
728	0.6306705974
729	0.6305985378
730	0.6304126088
731	0.6302815503
732	0.6301487904
733	0.6300416146
734	0.6298422695
735	0.629597696
736	0.6294602418
737	0.6293120063
738	0.6291298238
739	0.6290215363
740	0.6288027657
741	0.6284589066
742	0.6283255118
743	0.6281756803
744	0.6280356494
745	0.6278903812
746	0.627818271
747	0.6275490467
748	0.6274181459
749	0.6272331052
750	0.627093495
751	0.6269784084
752	0.6268651672
753	0.626690594
754	0.62644598
755	0.6262073263
756	0.6261119933
757	0.6258209749
758	0.6256206987
759	0.6254335434
760	0.6253104403
761	0.6252336447
762	0.6250275516
763	0.6248072761
764	0.6246400637
765	0.6243615183
766	0.6241689791
767	0.6240268458
768	0.6238464418
769	0.6237864188
770	0.6237118798
771	0.6235680616
772	0.6234055613
773	0.6232538599
774	0.6231147502
775	0.6228816784
776	0.6227035778
777	0.6225576444
778	0.6224343064
779	0.6222381235
780	0.6221714214
781	0.6220333631
782	0.6219013303
783	0.6216375035
784	0.621391722
785	0.6212445065
786	0.621143949
787	0.6209471934
788	0.6208257451
789	0.6206796289
790	0.6204736447
791	0.6203701691
792	0.6202608082
793	0.6200794158
794	0.6199856217
795	0.6198302435
796	0.6196945375
797	0.6196001596
798	0.6193580727
799	0.6192554335
800	0.6189885742
801	0.6187559296
802	0.6185823888
803	0.6184935642
804	0.6183491142
805	0.6182634466
806	0.6181578248
807	0.6179348604
808	0.6178317435
809	0.6176877907
810	0.6174785768
811	0.6173645504
812	0.6172434879
813	0.6170796439
814	0.6169524546
815	0.6168683582
816	0.6167056384
817	0.616587995
818	0.6164643757
819	0.6163507219
820	0.6162664457
821	0.6161099234
822	0.6159978613
823	0.6159087447
824	0.6157659729
825	0.6156069813
826	0.6154261073
827	0.6153427063
828	0.6151402145
829	0.6149158458
830	0.614705545
831	0.6146053076
832	0.6144197949
833	0.6143064092
834	0.6141988325
835	0.6140260128
836	0.6138442869
837	0.6137210004
838	0.6135162845
839	0.6132723082
840	0.6130907567
841	0.6129608671
842	0.6128576982
843	0.6126346822
844	0.6125066637
845	0.612432361
846	0.6123513076
847	0.6122619083
848	0.6119689452
849	0.6117633676
850	0.6116337394
851	0.6115764595
852	0.6114654803
853	0.611354627
854	0.6112274396
855	0.6111098319
856	0.6109011193
857	0.6107817582
858	0.6107274341
859	0.610609257
860	0.6104668595
861	0.6101983332
862	0.6098967838
863	0.6096720902
864	0.6095132656
865	0.6093721343
866	0.6092614982
867	0.6091383959
868	0.6089075444
869	0.6087599907
870	0.6086451532
871	0.6084460538
872	0.6083094133
873	0.6082482635
874	0.6082004823
875	0.6080796358
876	0.6079691504
877	0.6077658641
878	0.6076290675
879	0.6075824851
880	0.6074281586
881	0.607234766
882	0.6070690329
883	0.6069181432
884	0.6068305548
885	0.6067587745
886	0.6066789568
887	0.6065537504
888	0.6064246797
889	0.6062707307
890	0.6061348989
891	0.6059966863
892	0.6058135218
893	0.6056724919
894	0.6056057551
895	0.6053998933
896	0.605247706
897	0.6049035921
898	0.6047373552
899	0.6046316865
900	0.6044688385
901	0.6042951832
902	0.6041213331
903	0.6039881547
904	0.6038893865
905	0.6037651543
906	0.6036354846
907	0.6034940047
908	0.6034038541
909	0.6033285647
910	0.6032452437
911	0.6031426526
912	0.6030594939
913	0.6029596529
914	0.6029144979
915	0.6028195357
916	0.6027152914
917	0.6025433745
918	0.6023942222
919	0.602219132
920	0.6021094645
921	0.6019697293
922	0.6018181347
923	0.6017253254
924	0.6016486244
925	0.6014930055
926	0.6012977088
927	0.6011191416
928	0.6009927367
929	0.6008743051
930	0.6007789091
931	0.6007041725
932	0.6006072565
933	0.6005346433
934	0.6004496958
935	0.6003227127
936	0.6002341221
937	0.6000969557
938	0.5999120536
939	0.5997891889
940	0.5996363053
941	0.5995014979
942	0.5993332719
943	0.5992156243
944	0.5990287964
945	0.5988311102
946	0.5986031055
947	0.5985031845
948	0.5983361111
949	0.5982747305
950	0.5980611311
951	0.5979731118
952	0.5978290771
953	0.5977007564
954	0.5975537756
955	0.5973953575
956	0.597291289
957	0.5970150296
958	0.5967962777
959	0.596722849
960	0.5965443031
961	0.596423246
962	0.5963066841
963	0.5962209501
964	0.5961542597
965	0.5960248019
966	0.5959299902
967	0.595860227
968	0.595690719
969	0.5955227937
970	0.5954350834
971	0.5952788998
972	0.5952300478
973	0.595104948
974	0.5949606479
975	0.5948765553
976	0.5947545278
977	0.5946007064
978	0.5944452639
979	0.5942976803
980	0.5942047188
981	0.5941144319
982	0.5939430916
983	0.593770068
984	0.5937026871
985	0.5936098606
986	0.5934502209
987	0.5933773567
988	0.5932726755
989	0.5931558761
990	0.5930140807
991	0.5928061907
992	0.5926753867
993	0.5925537754
994	0.5924631337
995	0.5923241089
996	0.5921756788
997	0.5920301963
998	0.5919183941
999	0.5917079316
