iter	Passed	Remaining
411	4246	6060
412	4256	6049
413	4265	6038
414	4275	6027
415	4285	6015
416	4294	6004
417	4304	5993
418	4314	5983
419	4324	5972
420	4333	5960
421	4343	5949
422	4354	5939
423	4367	5933
424	4379	5924
425	4388	5913
426	4398	5903
427	4408	5892
428	4418	5881
429	4428	5870
430	4438	5859
431	4448	5848
432	4457	5837
433	4467	5826
434	4477	5815
435	4487	5805
436	4499	5796
437	4510	5787
438	4520	5776
439	4530	5765
440	4542	5757
441	4553	5748
442	4564	5739
443	4574	5728
444	4585	5719
445	4595	5708
446	4606	5698
447	4616	5688
448	4625	5676
449	4635	5666
450	4645	5655
451	4655	5644
452	4667	5635
453	4677	5625
454	4687	5614
455	4697	5604
456	4707	5593
457	4717	5582
458	4726	5571
459	4736	5559
460	4745	5548
461	4756	5538
462	4766	5528
463	4776	5517
464	4786	5507
465	4796	5496
466	4805	5485
467	4815	5474
468	4825	5462
469	4834	5452
470	4844	5441
471	4854	5430
472	4864	5419
473	4874	5408
474	4884	5398
475	4893	5387
476	4905	5378
477	4917	5370
478	4930	5363
479	4943	5355
480	4955	5347
481	4968	5339
482	4980	5331
483	4993	5323
484	5006	5315
485	5018	5307
486	5030	5299
487	5043	5291
488	5056	5283
489	5067	5274
490	5077	5263
491	5088	5254
492	5099	5244
493	5109	5233
494	5119	5222
495	5129	5211
496	5138	5200
497	5148	5190
498	5158	5179
499	5168	5168
500	5178	5157
501	5188	5147
502	5198	5136
503	5207	5124
504	5217	5113
505	5227	5103
506	5237	5092
507	5246	5081
508	5257	5071
509	5266	5060
510	5277	5050
511	5287	5039
512	5296	5028
513	5308	5019
514	5319	5009
515	5328	4998
516	5338	4987
517	5348	4976
518	5357	4965
519	5367	4954
520	5376	4943
521	5386	4932
522	5397	4922
523	5413	4917
524	5423	4907
525	5433	4896
526	5443	4885
527	5453	4874
528	5462	4863
529	5472	4852
530	5482	4842
531	5491	4831
532	5501	4820
533	5511	4809
534	5521	4798
535	5530	4787
536	5540	4776
537	5549	4765
538	5559	4755
539	5569	4744
540	5579	4733
541	5588	4722
542	5598	4711
543	5607	4700
544	5617	4689
545	5627	4679
546	5637	4668
547	5646	4657
548	5656	4646
549	5665	4635
550	5676	4625
551	5686	4615
552	5696	4604
553	5706	4594
554	5716	4583
555	5727	4573
556	5737	4563
557	5747	4552
558	5756	4541
559	5766	4530
560	5776	4520
561	5787	4510
562	5797	4500
563	5806	4489
564	5817	4478
565	5828	4468
566	5837	4458
567	5847	4447
568	5857	4436
569	5867	4426
570	5877	4415
571	5887	4405
572	5897	4394
573	5906	4383
574	5916	4373
575	5926	4362
576	5936	4351
577	5946	4341
578	5956	4331
579	5965	4320
580	5976	4309
581	5985	4299
582	5995	4288
583	6005	4277
584	6014	4266
585	6024	4255
586	6033	4245
587	6044	4235
588	6054	4224
589	6065	4215
590	6076	4205
591	6086	4194
592	6095	4183
593	6105	4173
594	6115	4162
595	6125	4152
596	6135	4141
597	6145	4131
598	6155	4120
599	6165	4110
600	6174	4099
601	6184	4088
602	6194	4078
603	6203	4067
604	6213	4056
605	6223	4046
606	6233	4035
607	6243	4025
608	6253	4014
609	6262	4003
610	6272	3993
611	6282	3983
612	6292	3972
613	6303	3963
614	6315	3953
615	6328	3945
616	6338	3934
617	6348	3924
618	6358	3913
619	6368	3903
620	6378	3892
621	6388	3882
622	6400	3873
623	6412	3863
624	6422	3853
625	6433	3843
626	6445	3834
627	6458	3825
628	6468	3815
629	6478	3804
630	6488	3794
631	6498	3783
632	6508	3773
633	6517	3762
634	6527	3751
635	6536	3740
636	6545	3730
637	6555	3719
638	6565	3708
639	6575	3698
640	6584	3687
641	6593	3677
642	6603	3666
643	6613	3656
644	6623	3645
645	6633	3635
646	6643	3624
647	6653	3614
648	6662	3603
649	6672	3592
650	6682	3582
651	6693	3572
652	6703	3562
653	6713	3551
654	6723	3541
655	6733	3530
656	6743	3520
657	6753	3510
658	6762	3499
659	6772	3488
660	6781	3478
661	6792	3467
662	6803	3457
663	6813	3447
664	6822	3436
665	6832	3426
666	6841	3415
667	6851	3405
668	6861	3394
669	6871	3384
670	6880	3373
671	6890	3363
672	6900	3352
673	6910	3342
674	6919	3331
675	6931	3322
676	6941	3312
677	6951	3301
678	6961	3290
679	6970	3280
680	6980	3269
681	6990	3259
682	6999	3248
683	7009	3238
684	7019	3227
685	7029	3217
686	7038	3206
687	7048	3196
688	7058	3186
689	7069	3176
690	7079	3165
691	7088	3155
692	7098	3144
693	7108	3134
694	7118	3123
695	7127	3113
696	7137	3102
697	7147	3092
698	7156	3081
699	7166	3071
700	7176	3060
701	7185	3050
702	7195	3039
703	7204	3029
704	7214	3018
705	7224	3008
706	7234	2998
707	7243	2987
708	7253	2977
709	7263	2966
710	7273	2956
711	7283	2946
712	7293	2935
713	7304	2925
714	7314	2915
715	7324	2905
716	7333	2894
717	7343	2884
718	7353	2873
719	7362	2863
720	7372	2852
721	7382	2842
722	7393	2832
723	7406	2823
724	7418	2813
725	7428	2803
726	7438	2793
727	7448	2782
728	7458	2772
729	7467	2762
730	7477	2751
731	7489	2741
732	7502	2732
733	7512	2722
734	7522	2712
735	7532	2701
736	7542	2691
737	7552	2681
738	7562	2670
739	7571	2660
740	7581	2650
741	7591	2639
742	7601	2629
743	7611	2619
744	7621	2608
745	7631	2598
746	7640	2587
747	7650	2577
748	7660	2567
749	7670	2556
750	7680	2546
751	7694	2537
752	7704	2527
753	7713	2516
754	7723	2506
755	7733	2496
756	7743	2485
757	7753	2475
758	7763	2465
759	7773	2454
760	7784	2444
761	7794	2434
762	7803	2423
763	7816	2414
764	7827	2404
765	7837	2394
766	7847	2383
767	7857	2373
768	7867	2363
769	7876	2352
770	7886	2342
771	7896	2332
772	7906	2321
773	7916	2311
774	7925	2301
775	7935	2290
776	7944	2280
777	7954	2269
778	7964	2259
779	7974	2249
780	7983	2238
781	7993	2228
782	8003	2217
783	8013	2207
784	8024	2197
785	8034	2187
786	8046	2177
787	8056	2167
788	8065	2156
789	8075	2146
790	8085	2136
791	8094	2125
792	8104	2115
793	8114	2105
794	8124	2094
795	8134	2084
796	8143	2074
797	8153	2063
798	8163	2053
799	8172	2043
800	8182	2032
801	8192	2022
802	8202	2012
803	8212	2002
804	8222	1991
805	8232	1981
806	8242	1971
807	8252	1960
808	8262	1950
809	8271	1940
810	8282	1930
811	8294	1920
812	8303	1910
813	8315	1900
814	8325	1889
815	8334	1879
816	8344	1869
817	8354	1858
818	8363	1848
819	8373	1838
820	8382	1827
821	8395	1817
822	8407	1808
823	8418	1798
824	8428	1787
825	8437	1777
826	8447	1767
827	8457	1756
828	8467	1746
829	8477	1736
830	8487	1726
831	8496	1715
832	8506	1705
833	8515	1695
834	8527	1685
835	8536	1674
836	8547	1664
837	8556	1654
838	8567	1644
839	8579	1634
840	8589	1623
841	8599	1613
842	8608	1603
843	8619	1593
844	8628	1582
845	8638	1572
846	8647	1562
847	8657	1551
848	8667	1541
849	8677	1531
850	8688	1521
851	8698	1511
852	8707	1500
853	8717	1490
854	8727	1480
855	8736	1469
856	8746	1459
857	8755	1449
858	8765	1438
859	8775	1428
860	8785	1418
861	8795	1408
862	8805	1397
863	8816	1387
864	8827	1377
865	8837	1367
866	8846	1357
867	8856	1346
868	8866	1336
869	8876	1326
870	8886	1316
871	8895	1305
872	8905	1295
873	8915	1285
874	8927	1275
875	8940	1265
876	8953	1255
877	8966	1245
878	8976	1235
879	8986	1225
880	8997	1215
881	9006	1204
882	9016	1194
883	9027	1184
884	9038	1174
885	9048	1164
886	9058	1153
887	9068	1143
888	9078	1133
889	9087	1123
890	9097	1112
891	9107	1102
892	9117	1092
893	9127	1082
894	9136	1071
895	9146	1061
896	9156	1051
897	9166	1041
898	9175	1030
899	9185	1020
900	9195	1010
901	9205	1000
902	9215	989
903	9224	979
904	9234	969
905	9243	959
906	9253	948
907	9263	938
908	9272	928
909	9282	918
910	9292	907
911	9302	897
912	9311	887
913	9322	877
914	9332	866
915	9342	856
916	9351	846
917	9361	836
918	9371	825
919	9381	815
920	9390	805
921	9402	795
922	9417	785
923	9428	775
924	9437	765
925	9448	755
926	9458	744
927	9467	734
928	9477	724
929	9487	714
930	9497	703
931	9507	693
932	9516	683
933	9526	673
934	9535	662
935	9545	652
936	9555	642
937	9564	632
938	9574	621
939	9584	611
940	9593	601
941	9603	591
942	9613	581
943	9623	570
944	9632	560
945	9642	550
946	9652	540
947	9662	530
948	9673	519
949	9682	509
950	9692	499
951	9704	489
952	9714	479
953	9724	468
954	9734	458
955	9744	448
956	9754	438
957	9764	428
958	9774	417
959	9784	407
960	9794	397
961	9804	387
962	9815	377
963	9825	366
964	9835	356
965	9845	346
966	9855	336
967	9864	326
968	9874	315
969	9885	305
970	9896	295
971	9906	285
972	9916	275
973	9926	264
974	9936	254
975	9945	244
976	9955	234
977	9965	224
978	9975	213
979	9985	203
980	9994	193
981	10004	183
982	10015	173
983	10026	163
984	10036	152
985	10045	142
986	10056	132
987	10065	122
988	10075	112
989	10085	101
990	10095	91
991	10104	81
992	10114	71
993	10123	61
994	10133	50
995	10143	40
996	10153	30
997	10163	20
998	10173	10
999	10182	0
